anime_id,Genres,English name,Type,Episodes,Studios,Source
1,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,TV,26,Sunrise,Original
5,"Action, Drama, Mystery, Sci-Fi, Space",Cowboy Bebop:The Movie,Movie,1,Bones,Original
6,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,TV,26,Madhouse,Manga
7,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter Robin,TV,26,Sunrise,Original
8,"Adventure, Fantasy, Shounen, Supernatural",Beet the Vandel Buster,TV,52,Toei Animation,Manga
15,"Action, Sports, Comedy, Shounen",Unknown,TV,145,Gallop,Manga
16,"Comedy, Drama, Josei, Romance, Slice of Life",Honey and Clover,TV,24,J.C.Staff,Manga
17,"Slice of Life, Comedy, Sports, Shounen",Unknown,TV,52,Nippon Animation,Manga
18,"Action, Cars, Sports, Drama, Seinen",Unknown,TV,24,A.C.G.T.,Manga
19,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",Monster,TV,74,Madhouse,Manga
20,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,TV,220,Studio Pierrot,Manga
21,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",One Piece,TV,Unknown,Toei Animation,Manga
22,"Action, Comedy, Sports, School, Shounen",The Prince of Tennis,TV,178,Trans Arts,Manga
23,"Action, Shounen, Sports",Unknown,TV,12,Toei Animation,Manga
24,"Comedy, Romance, School, Shounen",School Rumble,TV,26,Studio Comet,Manga
25,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,TV,24,Gonzo,Manga
26,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,TV,22,Madhouse,Original
27,"Action, Supernatural, Vampire",Trinity Blood,TV,24,Gonzo,Light novel
28,"Comedy, Shounen",Yakitate!! Japan,TV,69,Sunrise,Manga
29,"Action, Military, Sci-Fi, Historical, Drama, Seinen",Unknown,TV,26,Studio Deen,Manga
30,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,TV,26,"Gainax, Tatsunoko Production",Original
31,"Drama, Mecha, Psychological, Sci-Fi",Neon Genesis Evangelion:Death & Rebirth,Movie,1,"Gainax, Production I.G",Original
32,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion:The End of Evangelion,Movie,1,"Gainax, Production I.G",Original
33,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",Berserk,TV,25,OLM,Manga
43,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Ghost in the Shell,Movie,1,Production I.G,Manga
44,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",Samurai X:Trust and Betrayal,OVA,4,Studio Deen,Manga
45,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",Rurouni Kenshin,TV,94,"Gallop, Studio Deen",Manga
46,"Samurai, Historical, Drama, Shounen",Samurai X:The Motion Picture,Movie,1,Gallop,Manga
47,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",AKIRA,Movie,1,Tokyo Movie Shinsha,Manga
48,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,TV,26,Bee Train,Original
49,"Comedy, Magic, Romance, Seinen, Supernatural",Oh! My Goddess,OVA,5,AIC,Manga
50,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,TV,24,AIC,Manga
51,"Action, Drama, Romance, Shoujo, Supernatural",Angel Sanctuary,OVA,3,Hal Film Maker,Manga
52,"Sci-Fi, Comedy, Sports, Drama, Shounen",Battle Doll Angelic Layer,TV,26,Bones,Manga
53,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,TV,24,J.C.Staff,Manga
54,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Unknown,Movie,1,Digital Frontier,Manga
55,"Action, Adventure, Fantasy, Horror, Sci-Fi",Unknown,TV,26,Bee Train,Game
56,"Adventure, Fantasy, Sci-Fi, Shounen",Unknown,TV,13,"Bee Train, Xebec",Original
57,"Comedy, Drama, Music, Shounen, Slice of Life",Beck:Mongolian Chop Squad,TV,26,Madhouse,Manga
58,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,TV,26,AIC,Original
59,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,TV,26,Madhouse,Manga
60,"Action, Demons, Historical, Romance, Shounen, Supernatural",Chrono Crusade,TV,24,Gonzo,Manga
61,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",D.N.Angel,TV,26,Xebec,Manga
62,"Harem, Drama, Magic, Romance",D.C.~Da Capo~,TV,26,"feel., Zexcs",Visual novel
63,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",DearS,TV,12,Daume,Manga
64,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,TV,12,Nomad,Manga
65,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden:Träumend,TV,12,Nomad,Manga
66,"Slice of Life, Comedy, School",Azumanga Daioh:The Animation,TV,26,J.C.Staff,4-koma manga
67,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",Basilisk,TV,24,Gonzo,Manga
68,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",Black Cat,TV,23,Gonzo,Manga
69,"Action, Fantasy, Military, Sci-Fi",Unknown,TV,25,Sunrise,Original
71,"Action, Military, Sci-Fi, Comedy, Mecha",Full Metal Panic!,TV,24,Gonzo,Light novel
72,"Action, Comedy, School",Full Metal Panic? Fumoffu,TV,12,Kyoto Animation,Light novel
73,"Action, Military, Mecha",Full Metal Panic! The Second Raid,TV,13,Kyoto Animation,Light novel
74,"Comedy, School, Shoujo, Super Power",Gakuen Alice,TV,26,Group TAC,Manga
75,"Action, Drama, Mecha, Military, Sci-Fi",Fafner of the Blue Sky,TV,25,Xebec,Original
76,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha,TV,13,Seven Arcs,Original
77,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha A's,TV,13,Seven Arcs,Original
79,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",Shuffle!,TV,24,Asread,Visual novel
80,"Action, Military, Sci-Fi, Space, Mecha",Mobile Suit Gundam,TV,43,Sunrise,Original
81,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",Mobile Suit Gundam:The 08th MS Team,OVA,12,Sunrise,Original
82,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam 0080:War in the Pocket,OVA,6,Sunrise,Original
83,"Military, Sci-Fi, Drama, Romance, Mecha",Unknown,Movie,1,Sunrise,Original
84,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",Mobile Suit Gundam 0083:Stardust Memory,OVA,13,Sunrise,Original
85,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam,TV,50,Sunrise,Original
86,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",Mobile Suit Gundam ZZ,TV,47,Sunrise,Original
87,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam:Char's Counterattack,Movie,1,"Sunrise, Studio Hibari",Novel
88,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam F91,Movie,1,Sunrise,Unknown
89,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit V Gundam,TV,51,"Sunrise, Studio Deen",Original
90,"Action, Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam Wing,TV,49,Sunrise,Original
91,"Action, Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam Wing:Endless Waltz,OVA,3,Sunrise,Original
92,"Sci-Fi, Adventure, Space, Drama, Mecha",After War Gundam X,TV,39,Sunrise,Original
93,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Mobile Suit Gundam SEED,TV,50,Sunrise,Original
94,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Unknown,TV,50,Sunrise,Original
95,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ Gundam,TV,50,"Sunrise, Nakamura Production",Original
96,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",Mobile Fighter G Gundam,TV,49,Sunrise,Original
97,"Action, Sci-Fi, Adventure",Last Exile,TV,26,Gonzo,Original
98,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",My-Hime,TV,26,Sunrise,Original
99,"Comedy, Drama, Fantasy, Magic",My-Otome,TV,26,Sunrise,Original
100,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",Prétear:The New Legend of Snow White,TV,13,Hal Film Maker,Manga
101,"Slice of Life, Supernatural, Drama, Romance",Air,TV,12,Kyoto Animation,Visual novel
102,"Comedy, Drama, Romance, Shoujo",Unknown,TV,26,TMS Entertainment,Manga
103,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",Red Riding Hood Chacha,TV,74,Gallop,Manga
104,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo","Ceres, Celestial Legend",TV,24,Studio Pierrot,Manga
105,"Slice of Life, Comedy, Romance, Shounen",Boys Be...,TV,13,Hal Film Maker,Manga
106,"Drama, Romance, School, Shoujo",Hana Yori Dango,TV,51,Toei Animation,Manga
107,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Jing:King of Bandits,TV,13,Studio Deen,Manga
108,"Adventure, Fantasy, Psychological, Comedy, Shounen",Jing:King of Bandits - Seventh Heaven,OVA,3,Studio Deen,Manga
109,"Adventure, Comedy, Mecha, Sci-Fi",Burst Angel,TV,24,Gonzo,Original
110,"Action, Comedy, Drama, Shounen",Unknown,TV,52,Nippon Animation,Manga
111,"Sci-Fi, Adventure, Comedy, Magic",Corrector Yui,TV,52,Nippon Animation,Original
112,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",The Cosmopolitan Prayers,TV,8,"Imagin, Studio Live",Original
113,"Action, Mecha, Romance, Sci-Fi, Space",Stellvia,TV,26,Xebec,Original
114,"Comedy, School, Shounen",Cromartie High School,TV,26,Production I.G,Manga
115,"Adventure, Comedy, Fantasy",Unknown,TV,13,AIC,Original
